"study_id","sample_id","author","pub_year","yi","vi","pub_type","n","ed_level1","ed_level2","country","perc_white","age","perc_female","ei_construct","ei_stream","ei_measure","subject","humanities","achievement_type"
1,1,"Abdo",2012,0.218320115677371,0.00342243199960925,1,266,1,1,"USA",77,17.28,62,0,3,3.1,0,0,0
2,2,"Abdullah, Habibah, Mahyuddin, & Uli",2004,0.30032242277392,0.00405758707154266,0,205,1,1,"Kuala Lumpur & Malaysia",NA,16.5,NA,0,1,1.2,0,0,0
3,3,"Abel",2013,0.137669603487918,0.0124993944638577,1,78,1,1,"USA",0,17.47,63.3,0,3,3.2,0,0,0
5,5,"Adeyemo",2007,0.410148783087119,0.00231389498633138,0,300,2,2,"Nigeria",NA,19.4,53.33,0,2,2.2,6,0,0
6,6,"Afolabi, Okediji, Ogunmwonji",2009,0.293392098729833,0.00766285994397654,0,110,2,2,"Nigeria",NA,21.55,41.8,0,3,NA,0,0,0
7,7,"Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli",2012,0.17718939628824,0.00267291609589979,0,352,0,0,"Italy",NA,9.35,53.41,0,3,3.2,1,0,0
7,7,"Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli",2012,0.244754792692564,0.00251788826488872,0,352,0,0,"Italy",NA,9.35,53.41,0,3,3.2,2,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.136706017350893,0.00474370537432161,0,204,2,2,"UAE",NA,20.5,65.2,2,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.115028440003117,0.00479661078662487,0,204,2,2,"UAE",NA,20.5,65.2,3,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.112991793089391,0.00480112664723222,0,204,2,2,"UAE",NA,20.5,65.2,0,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.104741679434405,0.00481861438451756,0,204,2,2,"UAE",NA,20.5,65.2,NA,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.104315290168437,0.00481948301196361,0,204,2,2,"UAE",NA,20.5,65.2,NA,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.0677272146827517,0.00488102014348703,0,204,2,2,"UAE",NA,20.5,65.2,1,1,1.1,0,0,0
8,8,"Ahammed, Abdullah, & Hassane",2011,-0.0583544817062889,0.00489261627894944,0,204,2,2,"UAE",NA,20.5,65.2,4,1,1.1,0,0,0
9,9,"Ahmad",2011,0.227621678836827,0.00310021099142455,0,291,2,2,"Pakistan",NA,19.15,67,7,3,3.1,0,0,0
9,9,"Ahmad",2011,0.525013900076134,0.00180930343426221,0,291,2,2,"Pakistan",NA,19.15,67,8,3,3.1,0,0,0
9,9,"Ahmad",2011,0.301761190945465,0.00284886985322075,0,291,2,2,"Pakistan",NA,19.15,67,5,3,3.1,0,0,0
9,9,"Ahmad",2011,0.210899692303554,0.00314834825022789,0,291,2,2,"Pakistan",NA,19.15,67,9,3,3.1,0,0,0
9,9,"Ahmad",2011,0.172175515299764,0.0032468619820423,0,291,2,2,"Pakistan",NA,19.15,67,6,3,3.1,0,0,0
9,9,"Ahmad",2011,0.292018339583788,0.00288524949989812,0,291,2,2,"Pakistan",NA,19.15,67,0,3,3.1,0,0,0
10,10,"Ahmad & Rana",2012,0.108656724343437,0.00181848569989903,0,538,2,2,"Pakistan",NA,18.94,60.97,0,3,3.1,0,0,0
11,11,"Alhashemi",2014,0.119502141372516,0.00719735123386773,0,136,2,2,"Bahrain",NA,21,NA,0,2,2.5,0,0,0
13,13,"Alumran & Punamaki",2008,-0.0131113308514322,0.00321432866739107,0,312,3,3,"Bahrain",NA,17,54.5,8,3,3.1,0,0,0
13,13,"Alumran & Punamaki",2008,0.136082763487954,0.00309744661894239,0,312,3,3,"Bahrain",NA,17,54.5,0,3,3.1,0,0,0
13,13,"Alumran & Punamaki",2008,0.160612308851606,0.00305168110062393,0,312,3,3,"Bahrain",NA,17,54.5,6,3,3.1,0,0,0
13,13,"Alumran & Punamaki",2008,0.163965029624046,0.00304486725441998,0,312,3,3,"Bahrain",NA,17,54.5,5,3,3.1,0,0,0
13,13,"Alumran & Punamaki",2008,0.167758552118766,0.00303699730222777,0,312,3,3,"Bahrain",NA,17,54.5,7,3,3.1,0,0,0
14,14,"Amdurer, Boyatzis, Saatcioglu, Smith & Taylor",2014,-0.0323602522120375,0.00376568575378077,0,266,2,2,"USA",NA,29.55,29,0,3,NA,7,1,1
17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,0.631322633198553,0.00145269128205758,3,250,2,2,"Iran",NA,21.33267,52.8,1,3,3.2,NA,0,0
17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,0.644861606912099,0.00137042297521203,3,250,2,2,"Iran",NA,21.33267,52.8,NA,3,3.2,NA,0,0
17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,0.671586062567076,0.00121032302440209,3,250,2,2,"Iran",NA,21.33267,52.8,NA,3,3.2,NA,0,0
17,17,"Arbabisarjou, Raghib, Moayed & Rezazadeh",2013,0.710774587011695,0.000983239083531933,3,250,2,2,"Iran",NA,21.33267,52.8,4,3,3.2,NA,0,0
18,18,"Aremu, Tella & Tella",2006,0.375805372386074,0.00246650992005113,0,300,1,1,"Nigeria",NA,16.5,50,0,2,2.2,0,0,0
23,23,"Barchard",2003,0.0353762880444852,0.00669462149459713,0,150,2,2,"USA",44,21.5,62.67,1,1,1.1,0,0,0
23,23,"Barchard",2003,0.105146912120276,0.0065638287655958,0,150,2,2,"USA",44,21.5,62.67,4,1,1.1,0,0,0
23,23,"Barchard",2003,0.142818600354901,0.00644041435315316,0,150,2,2,"USA",44,21.5,62.67,2,1,1.1,0,0,0
23,23,"Barchard",2003,0.289820061790294,0.00563130158286453,0,150,2,2,"USA",44,21.5,62.67,3,1,1.1,0,0,0
23,23,"Barchard",2003,0.33996024072649,0.0052497394614281,0,150,2,2,"USA",44,21.5,62.67,0,1,1.1,0,0,0
23,23,"Barchard",2003,-0.10494119464364,0.00656440248247648,0,150,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0
23,23,"Barchard",2003,-0.0643229598093388,0.00665598813502432,0,150,2,2,"USA",44,21.5,62.67,NA,2,2.4,0,0,0
23,23,"Barchard",2003,-0.021182948417531,0.00670538769624093,0,150,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0
23,23,"Barchard",2003,-0.0117680987887261,0.00670955062336084,0,150,2,2,"USA",44,21.5,62.67,NA,2,2.4,0,0,0
23,23,"Barchard",2003,0.05296440819896,0.0066738081358081,0,150,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0
23,23,"Barchard",2003,0.0886998712620513,0.00660621856283733,0,150,2,2,"USA",44,21.5,62.67,1,2,NA,0,0,0
23,23,"Barchard",2003,0.0952815359835515,0.00659010253862038,0,150,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0
23,23,"Barchard",2003,0.228600893818399,0.00602828322003554,0,150,2,2,"USA",44,21.5,62.67,NA,2,NA,0,0,0
